sceneName,s1_start,s1_end,s1_url,cs2_path,cs2_time_min,cs2_time_max,num_matched_points
S1A_EW_GRDM_1SDH_20230626T142248_20230626T142348_049158_05E944_BA88,2023-06-26 14:22:48,2023-06-26 14:23:48,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230626T142248_20230626T142348_049158_05E944_BA88.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230626T134124_20230626T134456_E001.nc,2023-06-26 13:43:02.274934016,2023-06-26 13:44:06.997232000,73
S1A_EW_GRDM_1SDH_20230626T142148_20230626T142248_049158_05E944_ECF8,2023-06-26 14:21:48,2023-06-26 14:22:48,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230626T142148_20230626T142248_049158_05E944_ECF8.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230626T134124_20230626T134456_E001.nc,2023-06-26 13:44:07.896729984,2023-06-26 13:44:54.678292096,53
S1A_IW_GRDH_1SDH_20230626T124333_20230626T124358_049157_05E93D_A998,2023-06-26 12:43:33,2023-06-26 12:43:58,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230626T124333_20230626T124358_049157_05E93D_A998.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230626T120120_20230626T120632_E001.nc,2023-06-26 12:05:00.029840000,2023-06-26 12:05:27.022901120,31
S1A_IW_GRDH_1SDH_20230626T124308_20230626T124333_049157_05E93D_93B6,2023-06-26 12:43:08,2023-06-26 12:43:33,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230626T124308_20230626T124333_049157_05E93D_93B6.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230626T120120_20230626T120632_E001.nc,2023-06-26 12:05:27.922971904,2023-06-26 12:05:36.024885120,10
S1A_EW_GRDM_1SDH_20230624T143817_20230624T143917_049129_05E859_41EE,2023-06-24 14:38:17,2023-06-24 14:39:17,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230624T143817_20230624T143917_049129_05E859_41EE.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230624T134315_20230624T134653_E001.nc,2023-06-24 13:45:53.655905920,2023-06-24 13:47:00.229371008,75
S1A_EW_GRDM_1SDH_20230624T143713_20230624T143817_049129_05E859_E237,2023-06-24 14:37:13,2023-06-24 14:38:17,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230624T143713_20230624T143817_049129_05E859_E237.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230624T134315_20230624T134653_E001.nc,2023-06-24 13:47:01.129531008,2023-06-24 13:47:27.238958976,30
S1A_IW_GRDH_1SDH_20230624T130014_20230624T130039_049128_05E852_8AFC,2023-06-24 13:00:14,2023-06-24 13:00:39,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230624T130014_20230624T130039_049128_05E852_8AFC.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230624T120318_20230624T120829_E001.nc,2023-06-24 12:06:51.521304960,2023-06-24 12:06:59.611932032,10
S1A_IW_GRDH_1SDH_20230624T125949_20230624T130014_049128_05E852_ACD4,2023-06-24 12:59:49,2023-06-24 13:00:14,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230624T125949_20230624T130014_049128_05E852_ACD4.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230624T120318_20230624T120829_E001.nc,2023-06-24 12:07:00.511023104,2023-06-24 12:07:27.499483904,31
S1A_IW_GRDH_1SDH_20230624T125924_20230624T125949_049128_05E852_F479,2023-06-24 12:59:24,2023-06-24 12:59:49,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230624T125924_20230624T125949_049128_05E852_F479.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230624T120318_20230624T120829_E001.nc,2023-06-24 12:07:28.398944000,2023-06-24 12:07:56.305325952,32
S1A_IW_GRDH_1SDH_20230624T125859_20230624T125924_049128_05E852_9E13,2023-06-24 12:58:59,2023-06-24 12:59:24,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230624T125859_20230624T125924_049128_05E852_9E13.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230624T120318_20230624T120829_E001.nc,2023-06-24 12:07:57.205661056,2023-06-24 12:08:09.794461952,15
S1A_IW_GRDH_1SDH_20230622T145441_20230622T145509_049100_05E77E_92B9,2023-06-22 14:54:41,2023-06-22 14:55:09,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230622T145441_20230622T145509_049100_05E77E_92B9.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230622T134507_20230622T134850_E001.nc,2023-06-22 13:48:37.008721024,2023-06-22 13:48:53.208899072,19
S1A_IW_GRDH_1SDH_20230622T145412_20230622T145441_049100_05E77E_30BF,2023-06-22 14:54:12,2023-06-22 14:54:41,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230622T145412_20230622T145441_049100_05E77E_30BF.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230622T134507_20230622T134850_E001.nc,2023-06-22 13:48:54.108923008,2023-06-22 13:49:26.518179072,37
S1A_IW_GRDH_1SDH_20230622T131559_20230622T131624_049099_05E778_C55B,2023-06-22 13:15:59,2023-06-22 13:16:24,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230622T131559_20230622T131624_049099_05E778_C55B.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230622T120515_20230622T121026_E001.nc,2023-06-22 12:09:23.332164992,2023-06-22 12:09:35.030818048,14
S1A_IW_GRDH_1SDH_20230622T131530_20230622T131559_049099_05E778_B407,2023-06-22 13:15:30,2023-06-22 13:15:59,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230622T131530_20230622T131559_049099_05E778_B407.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230622T120515_20230622T121026_E001.nc,2023-06-22 12:09:35.930973056,2023-06-22 12:10:09.202391040,38
S1A_IW_GRDH_1SDH_20230622T113635_20230622T113700_049098_05E770_21C0,2023-06-22 11:36:35,2023-06-22 11:37:00,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230622T113635_20230622T113700_049098_05E770_21C0.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230622T102928_20230622T103145_E001.nc,2023-06-22 10:30:37.041968000,2023-06-22 10:31:05.832856960,33
S1A_IW_GRDH_1SDH_20230622T113610_20230622T113635_049098_05E770_53B3,2023-06-22 11:36:10,2023-06-22 11:36:35,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230622T113610_20230622T113635_049098_05E770_53B3.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230622T102928_20230622T103145_E001.nc,2023-06-22 10:31:06.732686080,2023-06-22 10:31:19.335818112,15
S1A_IW_GRDH_1SDH_20230621T141315_20230621T141340_049085_05E70B_EFC8,2023-06-21 14:13:15,2023-06-21 14:13:40,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230621T141315_20230621T141340_049085_05E70B_EFC8.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230621T125640_20230621T130033_E001.nc,2023-06-21 13:00:12.628822016,2023-06-21 13:00:28.829940992,19
S1A_IW_GRDH_1SDH_20230621T141246_20230621T141315_049085_05E70B_8B95,2023-06-21 14:12:46,2023-06-21 14:13:15,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230621T141246_20230621T141315_049085_05E70B_8B95.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230621T125640_20230621T130033_E001.nc,2023-06-21 13:00:29.730164992,2023-06-21 13:01:03.944662016,39
S1A_EW_GRDM_1SDH_20230621T123500_20230621T123600_049084_05E706_2DF6,2023-06-21 12:35:00,2023-06-21 12:36:00,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230621T123500_20230621T123600_049084_05E706_2DF6.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230621T111957_20230621T112133_E001.nc,2023-06-21 11:20:34.153602048,2023-06-21 11:20:36.853203072,4
S1A_EW_GRDM_1SDH_20230621T123356_20230621T123500_049084_05E706_4FAD,2023-06-21 12:33:56,2023-06-21 12:35:00,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230621T123356_20230621T123500_049084_05E706_4FAD.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230621T111957_20230621T112133_E001.nc,2023-06-21 11:20:37.753088896,2023-06-21 11:21:54.486596992,84
S1A_EW_GRDM_1SDH_20230619T143103_20230619T143202_049056_05E62C_EC11,2023-06-19 14:31:03,2023-06-19 14:32:02,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230619T143103_20230619T143202_049056_05E62C_EC11.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230619T142952_20230619T144045_E001.nc,2023-06-19 14:39:31.067406080,2023-06-19 14:39:52.633899008,25
S1A_EW_GRDM_1SDH_20230619T142858_20230619T143002_049056_05E62C_0EEE,2023-06-19 14:28:58,2023-06-19 14:30:02,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230619T142858_20230619T143002_049056_05E62C_0EEE.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230619T125835_20230619T130229_E001.nc,2023-06-19 13:01:57.572944000,2023-06-19 13:03:05.993113984,77
S1A_EW_GRDM_1SDH_20230619T125013_20230619T125118_049055_05E626_D328,2023-06-19 12:50:13,2023-06-19 12:51:18,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230619T125013_20230619T125118_049055_05E626_D328.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230619T112152_20230619T112405_E001.nc,2023-06-19 11:22:44.426898944,2023-06-19 11:23:54.470144000,77
S1A_EW_GRDM_1SDH_20230618T134749_20230618T134853_049041_05E5B6_FBAC,2023-06-18 13:47:49,2023-06-18 13:48:53,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230618T134749_20230618T134853_049041_05E5B6_FBAC.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230618T121005_20230618T121421_E001.nc,2023-06-18 12:13:28.901436032,2023-06-18 12:14:25.596148992,64
